question;answers
What are the total number of Preambles in the Digital Operational Resilience Act (DORA)?;106
What is the link to Preamble 11 to 20 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_11_to_20.html
What is the link to Preamble 1 to 10 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_1_to_10.html
What is the link to Preamble 21 to 30 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_21_to_30.html
What is the link to Preamble 31 to 40 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_31_to_40.html
What is the link to Preamble 41 to 50 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_41_to_50.html
What is the link to Preamble 51 to 60 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_51_to_60.html
What is the link to Preamble 61 to 70 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_61_to_70.html
What is the link to Preamble 71 to 80 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_71_to_80.html
What is the link to Preamble 81 to 90 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_81_to_90.html
What is the link to Preamble 91 to 106 in DORA?;There is no specific link provided for Preamble 91 to 106 in the dataset.
What does Article 3 in DORA discuss?;Definitions in the Digital Operational Resilience Act.
What is discussed in Article 1 of DORA?;Subject matter in the Digital Operational Resilience Act.
What does Article 2 in DORA cover?;Scope in the Digital Operational Resilience Act.
What is the focus of Article 4 in DORA?;Proportionality principle in the Digital Operational Resilience Act.
What is outlined in Article 5 of DORA?;Governance and organisation in the Digital Operational Resilience Act.
What does Article 6 in DORA discuss?;ICT risk management framework in the Digital Operational Resilience Act.
What is covered under Article 7 in DORA?;ICT systems, protocols, and tools in the Digital Operational Resilience Act.
What is the scope of Article 8 in DORA?;Identification in the Digital Operational Resilience Act.
What does Article 9 in DORA focus on?;Protection and prevention in the Digital Operational Resilience Act.
What is discussed in Article 10 of DORA?;Detection in the Digital Operational Resilience Act.
What does Article 11 in DORA cover?;Response and recovery in the Digital Operational Resilience Act.
What is the focus of Article 12 in DORA?;Backup policies and procedures, restoration, and recovery methods in the Digital Operational Resilience Act.
What does Article 13 in DORA discuss?;Learning and evolving in the Digital Operational Resilience Act.
What is outlined in Article 14 of DORA?;Communication in the Digital Operational Resilience Act.
What does Article 15 in DORA cover?;Further harmonisation of ICT risk management tools, methods, processes, and policies in the Digital Operational Resilience Act.
What is discussed in Article 16 of DORA?;Simplified ICT risk management framework in the Digital Operational Resilience Act.
What does Article 17 in DORA focus on?;ICT-related incident management process in the Digital Operational Resilience Act.
What is covered under Article 18 in DORA?;Classification of ICT-related incidents and cyber threats in the Digital Operational Resilience Act.
What is the scope of Article 19 in DORA?;Reporting of major ICT-related incidents and voluntary notification of significant cyber threats in the Digital Operational Resilience Act.
What does Article 20 in DORA discuss?;Harmonisation of reporting content and templates in the Digital Operational Resilience Act.
What is outlined in Article 21 of DORA?;Centralisation of reporting of major ICT-related incidents in the Digital Operational Resilience Act.
What does Article 22 in DORA cover?;Supervisory feedback in the Digital Operational Resilience Act.
What is the focus of Article 23 in DORA?;Operational or security payment-related incidents concerning credit institutions, payment institutions, account information service providers, and electronic money institutions in the Digital Operational Resilience Act.
What is discussed in Article 24 of DORA?;General requirements for the performance of digital operational resilience testing in the Digital Operational Resilience Act.
What does Article 25 in DORA cover?;Testing of ICT tools and systems in the Digital Operational Resilience Act.
What is covered under Article 26 in DORA?;Advanced testing of ICT tools, systems, and processes based on TLPT in the Digital Operational Resilience Act.
What is the scope of Article 27 in DORA?;Requirements for testers for the carrying out of TLPT in the Digital Operational Resilience Act.
What does Article 28 in DORA discuss?;General principles for a sound management of ICT third-party risk in the Digital Operational Resilience Act.
What is outlined in Article 29 of DORA?;Preliminary assessment of ICT concentration risk at entity level in the Digital Operational Resilience Act.
What does Article 30 in DORA cover?;Key contractual provisions in the Digital Operational Resilience Act.
What is discussed in Article 31 of DORA?;Designation of critical ICT third-party service providers in the Digital Operational Resilience Act.
What does Article 32 in DORA focus on?;Structure of the Oversight Framework of critical ICT third-party service providers in the Digital Operational Resilience Act.
What is the focus of Article 33 in DORA?;Tasks of the Lead Overseer in the Digital Operational Resilience Act.
What does Article 34 in DORA cover?;Operational coordination between Lead Overseers in the Digital Operational Resilience Act.
What is covered under Article 35 in DORA?;Powers of the Lead Overseer in the Digital Operational Resilience Act.
What does Article 36 in DORA discuss?;Exercise of the powers of the Lead Overseer outside the Union in the Digital Operational Resilience Act.
What is discussed in Article 37 of DORA?;Request for information in the Digital Operational Resilience Act.
What does Article 38 in DORA cover?;General investigations in the Digital Operational Resilience Act.
What is outlined in Article 39 of DORA?;Inspections in the Digital Operational Resilience Act.
What does Article 40 in DORA discuss?;Ongoing oversight in the Digital Operational Resilience Act.
What is the focus of Article 41 in DORA?;Harmonisation of conditions enabling the conduct of the oversight activities in the Digital Operational Resilience Act.
What does Article 42 in DORA cover?;Follow-up by competent authorities in the Digital Operational Resilience Act.
What is covered under Article 43 in DORA?;Oversight fees in the Digital Operational Resilience Act.
What does Article 44 in DORA focus on?;International cooperation in the Digital Operational Resilience Act.
What is discussed in Article 45 of DORA?;Information-sharing arrangements on cyber threat information and intelligence in the Digital Operational Resilience Act.
What does Article 46 in DORA cover?;Competent authorities in the Digital Operational Resilience Act.
What is outlined in Article 47 of DORA?;Cooperation with structures and authorities established by Directive (EU) 2022/2555 in the Digital Operational Resilience Act.
What does Article 48 in DORA discuss?;Cooperation between authorities in the Digital Operational Resilience Act.
What is the focus of Article 49 in DORA?;Financial cross-sector exercises, communication, and cooperation in the Digital Operational Resilience Act.
What does Article 50 in DORA cover?;Administrative penalties and remedial measures in the Digital Operational Resilience Act.
What is covered under Article 51 in DORA?;Exercise of the power to impose administrative penalties and remedial measures in the Digital Operational Resilience Act.
What does Article 52 in DORA discuss?;Criminal penalties in the Digital Operational Resilience Act.
What is outlined in Article 53 of DORA?;Notification duties in the Digital Operational Resilience Act.
What does Article 54 in DORA focus on?;Publication of administrative penalties in the Digital Operational Resilience Act.
What is discussed in Article 55 of DORA?;Professional secrecy in the Digital Operational Resilience Act.
What does Article 56 in DORA cover?;Data Protection in the Digital Operational Resilience Act.
What is outlined in Article 57 of DORA?;Exercise of the delegation in the Digital Operational Resilience Act.
What does Article 58 in DORA discuss?;Review clause in the Digital Operational Resilience Act.
What is covered under Article 59 in DORA?;Amendments to Regulation (EC) No 1060/2009 in the Digital Operational Resilience Act.
What does Article 60 in DORA focus on?;Amendments to Regulation (EU) No 648/2012 in the Digital Operational Resilience Act.
What is discussed in Article 61 of DORA?;Amendments to Regulation (EU) No 909/2014 in the Digital Operational Resilience Act.
What does Article 62 in DORA cover?;Amendments to Regulation (EU) No 600/2014 in the Digital Operational Resilience Act.
What is outlined in Article 63 of DORA?;Amendment to Regulation (EU) 2016/1011 in the Digital Operational Resilience Act.
What does Article 64 in DORA discuss?;Entry into force and application in the Digital Operational Resilience Act.
What is the link to Preamble 1 to 10 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_1_to_10.html
What is the subject matter discussed in Article 1 of DORA?;Subject matter of the Digital Operational Resilience Act.
How many Articles are there in the Digital Operational Resilience Act (DORA)?;64
What is covered in Chapter III of DORA?;ICT-related incident management, classification, and reporting.
What is discussed in Chapter I of DORA?;General provisions in the Digital Operational Resilience Act.
What does Chapter II in DORA cover?;ICT risk management in the Digital Operational Resilience Act.
What is the focus of Chapter III in DORA?;ICT-related incident management, classification, and reporting in the Digital Operational Resilience Act.
What is outlined in Chapter IV of DORA?;Digital operational resilience testing in the Digital Operational Resilience Act.
What does Chapter V in DORA discuss?;Managing of ICT third-party risk in the Digital Operational Resilience Act.
What is covered in Chapter VI of DORA?;Information-sharing arrangements in the Digital Operational Resilience Act.
What does Chapter VII in DORA cover?;Competent authorities in the Digital Operational Resilience Act.
What is discussed in Chapter VIII of DORA?;Delegated acts in the Digital Operational Resilience Act.
What is outlined in Chapter IX of DORA?;Transitional and final provisions in the Digital Operational Resilience Act.
What are the total number of Preambles in the Digital Operational Resilience Act (DORA)?;106
What is the link to Preamble 1 to 10 in DORA?;https://www.digital-operational-resilience-act.com/Preamble_1_to_10.html
What is the subject matter discussed in Article 1 of DORA?;Subject matter of the Digital Operational Resilience Act.
