question;answers
What does Article 1 of DORA aim to achieve?;Article 1 aims to achieve a high common level of digital operational resilience by laying down uniform requirements concerning the security of network and information systems supporting the business processes of financial entities.
What are the requirements outlined for financial entities in Article 1?;Article 1 outlines requirements for financial entities related to ICT risk management, reporting incidents, digital operational resilience testing, information sharing on cyber threats, and measures for managing ICT third-party risk.
How does Article 1 address the contractual arrangements between ICT third-party service providers and financial entities?;Article 1 addresses the requirements related to the contractual arrangements between ICT third-party service providers and financial entities.
What does Article 1 specify regarding the Oversight Framework for critical ICT third-party service providers?;Article 1 specifies rules for the establishment and conduct of the Oversight Framework for critical ICT third-party service providers when providing services to financial entities.
How does Article 1 regulate cooperation among competent authorities?;Article 1 includes rules on cooperation among competent authorities, supervision, and enforcement in matters covered by this Regulation.
In relation to Directive (EU) 2022/2555, what is the status of this Regulation for identified financial entities?;For financial entities identified as essential or important entities pursuant to national rules transposing Article 3 of Directive (EU) 2022/2555, this Regulation is considered a sector-specific Union legal act.
What is the Regulation's stance regarding Member States' responsibilities concerning essential State functions?;The Regulation is without prejudice to Member States' responsibility regarding essential State functions concerning public security, defense, and national security in accordance with Union law.
Which entities does the Regulation apply to?;The Regulation applies to various entities including credit institutions, payment institutions, account information service providers, electronic money institutions, investment firms, crypto-asset service providers, central securities depositories, and more as listed in Article 2.
What collective term is used to refer to entities listed in paragraph 1 of Article 2?;Entities listed in paragraph 1 of Article 2 are collectively referred to as 'financial entities'.
What entities are exempted from the scope of this Regulation according to Article 2?;Managers of alternative investment funds, certain insurance and reinsurance undertakings, institutions for occupational retirement provision with a limited number of members, exempted natural or legal persons under specific directives, certain insurance intermediaries, and post office giro institutions as specified in Article 2 are exempted.
What provision allows Member States to exclude certain entities from the Regulation's scope?;Article 2(4) allows Member States to exclude entities specified in Article 2(5), points (4) to (23) of Directive 2013/36/EU within their territories, with notification to the Commission and subsequent changes being publicly available.
What entities collectively refer to as 'financial entities' in this Regulation?;Entities listed in paragraphs 1(a) to 1(t) of Article 2 are collectively referred to as 'financial entities' within this Regulation.
What are the types of entities exempted from the Regulation as per paragraph 3 of Article 2?;Managers of alternative investment funds, certain insurance and reinsurance undertakings, small occupational retirement provision institutions, exempted natural or legal persons under specific directives, certain size-based exemptions for insurance intermediaries, and post office giro institutions.
What action can Member States take regarding entities within their territories, as per Article 2(4)?;Member States can exclude entities specified in Article 2(5), points (4) to (23) of Directive 2013/36/EU within their territories, notifying the Commission and ensuring that information is publicly available.
